                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.234,                 2.4035,                 1.1692,                0.87307,                0.56239,                0.83651,                0.50222,                 1.1471,                 3.4475,                 1.1024,             0.00064912,             0.00064912,             0.00064912
                      1,                 1.2803,                 1.7215,                 1.2126,                 0.6095,                0.68716,                0.66288,                0.32418,                  1.584,                 3.2275,                 1.3736,              0.0013028,              0.0013028,              0.0013028
                      2,                 1.3096,                 1.5751,                 1.2252,                0.69542,                0.60311,                0.66409,                0.33744,                  1.396,                 2.7924,                 1.3314,              0.0019432,              0.0019432,              0.0019432
                      3,                 1.3312,                 1.4255,                 1.2651,                0.53056,                0.37107,                0.36371,                0.19837,                 1.6847,                  3.032,                 1.5855,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.3786,                 1.3043,                   1.27,                0.23247,                0.21384,                0.14672,                 0.0725,                 1.9143,                 4.1341,                 1.8004,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3189,                 1.1631,                 1.2661,                0.72339,                0.67925,                0.70232,                0.42916,                 1.3473,                  1.911,                 1.4031,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2556,                  1.067,                 1.2236,                0.80712,                0.92114,                0.86336,                 0.5891,                 1.1396,                 1.3255,                 1.2458,               0.001901,               0.001901,               0.001901
                      7,                  1.281,                 1.0292,                 1.2156,                0.76585,                0.78169,                0.86496,                0.50575,                 1.2706,                 1.5765,                 1.2924,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2765,                0.95968,                 1.2359,                0.87595,                0.93711,                0.91991,                0.56408,                 1.3043,                  1.268,                 1.3808,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2148,                0.87237,                 1.1885,                0.84689,                0.96226,                0.89116,                0.60269,                 1.0939,                0.94379,                 1.2166,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1728,                0.85345,                 1.1707,                 0.8624,                0.94969,                0.91053,                0.60264,                 1.1418,                 1.0664,                 1.1863,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2226,                0.85811,                 1.2003,                0.87427,                0.87469,                0.89629,                0.59499,                 1.0986,                0.97371,                  1.204,               0.001802,               0.001802,               0.001802
                     12,                  1.212,                0.87795,                 1.2216,                0.85163,                0.95597,                0.90626,                0.57779,                 1.2195,                 1.0102,                 1.3029,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1533,                 0.7965,                 1.1747,                0.88628,                0.98036,                0.92579,                0.63799,                 1.0354,                 0.8493,                 1.2062,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1389,                0.77239,                 1.1725,                0.89044,                0.97124,                0.91085,                0.59087,                 1.1488,                0.75966,                 1.2317,              0.0017426,              0.0017426,              0.0017426
